composer_id,composer_name,image_url
671,James Horner,https://img-www.tf-cdn.com/artist/10/james-horner.jpeg
34539,Gaelic Storm,https://img-www.tf-cdn.com/artist/10/gaelic-storm.jpeg
34540,I Salonisti,https://img-www.tf-cdn.com/artist/10/i-salonisti.jpeg
34576,Máire Brennan,https://img-www.tf-cdn.com/artist/10/maire-brennan.jpeg
4225,Celine Dion,https://img-www.tf-cdn.com/artist/10/celine-dion.jpeg
34577,Felix Godin,https://img-www.tf-cdn.com/artist-cover-2.jpeg
34578,Meredith Willson,https://img-www.tf-cdn.com/artist/10/meredith-willson.jpeg
34579,Paul Lincke,https://img-www.tf-cdn.com/artist-cover-4.jpeg
16887,Royal Philharmonic Orchestra,https://img-www.tf-cdn.com/artist/10/royal-philharmonic-orchestra.jpeg
77336,Frank Shipway,https://img-www.tf-cdn.com/artist/10/frank-shipway.jpeg
12045,Pyotr Ilyich Tchaikovsky,https://img-www.tf-cdn.com/artist/10/pyotr-ilyich-tchaikovsky.jpeg
800,Johann Strauss II,https://img-www.tf-cdn.com/artist/10/johann-strauss-ii.jpeg
34580,Archibald Joyce,https://img-www.tf-cdn.com/artist-cover-1.jpeg
87042,Ivan Caryll,https://img-www.tf-cdn.com/artist-cover-3.jpeg
87043,Lionel Monckton,https://img-www.tf-cdn.com/artist/10/lionel-monckton.jpeg
11896,Irving Berlin,https://img-www.tf-cdn.com/artist/10/irving-berlin.jpeg
22630,Budapest Philharmonic Orchestra,https://img-www.tf-cdn.com/artist/10/budapest-philharmonic-orchestra.jpeg
82376,Janos Sandor,https://img-www.tf-cdn.com/artist/10/janos-sandor.jpeg
17079,Jacques Offenbach,https://img-www.tf-cdn.com/artist/10/jacques-offenbach.jpeg
77478,Prague Symphony Orchestra,https://img-www.tf-cdn.com/artist/10/prague-symphony-orchestra.jpeg
77479,Václav Smetáček,https://img-www.tf-cdn.com/artist/10/vaclav-smetacek.jpeg
34583,Lowell Mason and Sarah Adams,https://img-www.tf-cdn.com/artist-cover-4.jpeg
15779,John McCormack,https://img-www.tf-cdn.com/artist/10/john-mccormack.jpeg
34585,Halfway House Dance Orchestra,https://img-www.tf-cdn.com/artist-cover-2.jpeg
34586,Guy Lombardo and His Orchestra,https://img-www.tf-cdn.com/artist/10/guy-lombardo-and-his-orchestra.jpeg
34587,Chick Bullock & His Levee Loungers,https://img-www.tf-cdn.com/artist-cover-4.jpeg
34588,Chuck Foster & His Orchestra,https://img-www.tf-cdn.com/artist/10/chuck-foster-his-orchestra.jpeg
34589,Adrian Rollini Trio,https://img-www.tf-cdn.com/artist/10/adrian-rollini-trio.jpeg
34590,Duke Ellington and His Orchestra,https://img-www.tf-cdn.com/artist/10/duke-ellington-and-his-orchestra.jpeg
34591,Beatrice Kay,https://img-www.tf-cdn.com/artist/10/beatrice-kay.jpeg
34594,Mildred Bailey and Her Orchestra,https://img-www.tf-cdn.com/artist/10/mildred-bailey-and-her-orchestra.jpeg
56549,John Kirby and His Orchestra,https://img-www.tf-cdn.com/artist-cover-2.jpeg
34593,Hal Kemp,https://img-www.tf-cdn.com/artist/10/hal-kemp.jpeg
34595,Maxine Sullivan and Her Orchestra,https://img-www.tf-cdn.com/artist/10/maxine-sullivan-and-her-orchestra.jpeg
34596,Miff Mole's Molers,https://img-www.tf-cdn.com/artist/10/miff-moles-molers.jpeg
34597,Nelson Eddy,https://img-www.tf-cdn.com/artist/10/nelson-eddy.jpeg
524,The Rolling Stones,https://img-www.tf-cdn.com/artist/10/the-rolling-stones.jpeg
3283,Howard Shore,https://img-www.tf-cdn.com/artist/10/howard-shore.jpeg
461,Dropkick Murphys,https://img-www.tf-cdn.com/artist/10/dropkick-murphys.jpeg
3279,Nas,https://img-www.tf-cdn.com/artist/10/nas.jpeg
3271,The Allman Brothers Band,https://img-www.tf-cdn.com/artist/10/the-allman-brothers-band.jpeg
91196,Human Beinz,https://img-www.tf-cdn.com/artist/10/human-beinz.jpeg
100445,Larry Saltzman,https://img-www.tf-cdn.com/artist/10/larry-saltzman.jpeg
100444,G.E. Smith,https://img-www.tf-cdn.com/artist/10/ge-smith.jpeg
789,Patsy Cline,https://img-www.tf-cdn.com/artist/10/patsy-cline.jpeg
3278,John Lennon and The Plastic Ono Band,https://img-www.tf-cdn.com/artist-cover-3.jpeg
3281,Joe Cuba,https://img-www.tf-cdn.com/artist/10/joe-cuba.jpeg
