director_id,director_name
nm0000116,James Cameron
nm0000217,Martin Scorsese
nm0319659,Dan Gilroy
nm0446819,Richard Kelly
nm4170048,Ari Aster
nm0684342,Jan Pinkava
nm0000233,Quentin Tarantino
nm0751577,Anthony Russo
nm0001880,Edward Zwick
nm0000229,Steven Spielberg
nm0348181,James Gunn
nm0197855,John Francis Daley
nm0001024,Nick Cassavetes
nm1098493,Rawson Marshall Thurber
nm0905152,Lilly Wachowski
nm0500610,David Leitch
nm0001716,Tony Scott
nm0610831,Gabriele Muccino
nm0109159,Kevin Bright
nm0001710,David Schwimmer
nm0501185,Michael Lembeck
nm0400958,Terry Hughes
nm0357143,Gary Halvorson
nm0918923,Ben Weiss
nm0258405,Sheldon Epps
nm0123273,James Burrows
nm0000913,Robby Benson
nm0541562,Gail Mancuso
nm0421675,Shelley Jensen
nm0390844,Todd Holland
nm0006919,Roger Christiansen
nm0697532,Stephen Prime
nm0094288,Peter Bonerz
nm0800376,Sam Simon
nm0296945,Pamela Fryman
nm0005344,Joe Regalbuto
nm0265954,Ellen Gittelsohn
nm0958449,Steve Zuckerman
nm0825731,David Steinberg
nm0212027,Dana De Vally Piazza
nm0772095,Thomas Schlamme
nm0002887,Alan Myerson
nm0762541,Arlene Sanford
nm0874716,Andrew Tsao
nm0006996,Paul Lazarus
nm0005316,Mary Kay Place
nm0251032,Eagle Egilsson
nm2351144,Sherwin Shilati
nm0004610,Karen Gaviola
nm0946475,Claudia Yarmy
nm0629152,Viet Nguyen
nm0003880,Sam Hill
nm0817620,Richard Speight Jr.
nm0394032,Nathan Hope
nm1204760,Kevin Alejandro
nm3768241,Bola Ogun
nm0066439,Greg Beeman
nm0132671,Lisa Demaine
nm1334994,Ildy Modrovich
nm0940851,D.B. Woodside
nm0936482,Len Wiseman
nm0066584,Matt Earl Beesley
nm0001513,Tim Matheson
nm0005113,Eriq La Salle
nm0587508,Louis Shaw Milito
nm0292468,David Frazee
nm0001601,David Paymer
nm0923423,Tara Nicole Weyr
nm0021772,Mairzee Almas
nm0004554,Ben Hernandez Bray
nm0726975,Alrick Riley
nm0849236,Brad Tanenbaum
nm0844896,Eduardo Sánchez
nm1392007,Marisol Adler
nm0867127,Mark Tonderai
nm0191697,Hanelle M. Culpepper
nm0006687,Jim Ramos Vickers
nm1121978,Jessika Borsiczky
nm2408871,Pamela Romanowsky
nm0808376,Gregory Smith
nm2451007,Erin Feeley
nm0423158,Harry Jierjian
nm3286970,Gabriel Correa
nm0683478,Alex Pillai
nm0003922,Michael Goi
nm5029623,Chell Stephen
nm1671066,Roxanne Benjamin
nm1642908,Catriona McKenzie
nm7808308,James DeWille
nm0463320,Shannon Kohli
nm0086745,Tessa Blake
nm0624423,Antonio Negret
nm0011876,Steven A. Adelson
nm0000749,Mädchen Amick
nm0003080,Rachel Talalay
nm1032600,Rob Seidenglanz
nm0002101,Robin Givens
nm1410076,Nathalie Boltt
nm3239255,Ronald Richard
nm0941276,Jeff Woolnough
nm1767218,Lee Toland Krieger
nm0686184,Mark Piznarski
nm1168394,Jesse Warn
nm0025978,Allison Anders
nm0441899,David Katzenberg
nm0003022,Lee Rose
nm0929360,Dawn Wilkinson
nm0838198,Kevin Rodney Sullivan
nm1083540,Jason Stone
nm0696300,Ellen S. Pressman
nm0453003,Maggie Kiley
nm0006853,Tim Hunter
nm0000777,Gregg Araki
nm0687096,Julie Plec
nm2980507,Alexis Ostrander
nm0679662,Jennifer Phang
nm0637458,Cherie Nowlan
nm0402493,Jeffrey G. Hunt
nm0470971,John T. Kretchmer
nm0571739,Tawnia McKiernan
nm0190597,Alexandra La Roche
nm0236930,Jim Drake
nm0180902,Richard Correll
nm0664829,Lex Passaris
nm0155117,Lee Shallat Chemel
nm1080142,Henry Chan
nm0436039,Danny Kallis
nm0761349,Kelly Sandefur
nm0566841,Jeff McCracken
nm1339949,Eric Dean Seaton
nm0507629,Phill Lewis
nm0358996,James Hampton
nm0614975,Howard Murray
nm0148252,Mark Cendrowski
nm0913637,Ted Wass
nm0566810,Terri McCoy
nm0274179,John Ferraro
nm0583754,Eric Meza
nm0447583,David Kendall
nm0870533,John Tracy
nm0470153,Rae Kraus
nm0000739,Debbie Allen
nm0578162,Jeff Melman
nm0899085,Chuck Vinson
nm0187892,Madeline Cripe
nm0005355,Alfonso Ribeiro
nm0907439,Werner Walian
nm5165734,Rita Rogers Blye
nm0899330,Maynard C. Virgil I
nm0676592,Michael Peters
nm0912528,Malcolm-Jamal Warner
nm0075669,Robert Berlinger
nm0923396,Andrew D. Weyman
nm0771673,Rob Schiller
nm0009953,Andy Ackerman
nm0445380,Asaad Kelada
nm0004105,Jay Sandrich
nm0516568,J.D. Lobue
nm0521143,Chuck Lorre
nm0927042,James Widdoes
nm0952360,Jerry Zaks
nm0036950,Lee Aronsohn
nm0001083,Jon Cryer
nm0755965,Jean Sagal
nm0959034,Joel Zwick
nm0731393,Mark Roberts
nm0615063,Joel Murray
nm0149803,Peter Chakos
nm0723597,Anthony Rich
nm1464599,Gay Linvill
nm3154374,Nikki Lorre
nm0943349,Kristy Cecil
nm0905154,Lana Wachowski
nm0574625,James McTeigue
nm0878756,Tom Tykwer
nm0321922,Dan Glass
nm0338576,Rob Greenberg
nm0790321,Michael J. Shea
nm0000439,Neil Patrick Harris
nm0634240,Christopher Nolan
nm0680846,Todd Phillips
nm0000318,Tim Burton
