episode_id,tvshow_id,actor_id,character_played
tt0583431,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583431,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583431,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583431,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583432,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583432,tt0108778,nm0001073,"[""Monica Geller-Bing""]"
tt0583432,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583432,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583433,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583433,tt0108778,nm0001073,"[""Monica Geller-Bing""]"
tt0583433,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583433,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583435,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583435,tt0108778,nm0001073,"[""Monica Geller-Bing""]"
tt0583435,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583435,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583436,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583436,tt0108778,nm0001073,"[""Monica Geller-Bing""]"
tt0583436,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583436,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583437,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583437,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583437,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583437,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583438,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583438,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583438,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583438,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583439,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583439,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583439,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583439,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583440,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583440,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583440,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583440,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583441,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583441,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583441,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583441,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583442,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583442,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583442,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583442,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583443,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583443,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583443,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583443,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583444,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583444,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583444,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583444,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583445,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583445,tt0108778,nm0001073,"[""Monica Geller-Bing""]"
tt0583445,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583445,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583446,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583446,tt0108778,nm0001073,"[""Monica Geller-Bing""]"
tt0583446,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583446,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583447,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583447,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583447,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583447,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583448,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583448,tt0108778,nm0001073,"[""Monica Geller""]"
tt0583448,tt0108778,nm0001435,"[""Phoebe Buffay""]"
tt0583448,tt0108778,nm0001455,"[""Joey Tribbiani""]"
tt0583449,tt0108778,nm0000098,"[""Rachel Green""]"
tt0583449,tt0108778,nm0001073,"[""Monica Geller""]"
