sid,sname,preview_url,album_art,duration
88231,Southampton (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/fc/e0/9b/fce09b47-a41e-0090-5057-d061e5157fcf/mzaf_7746241790456002930.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/ab/5a/96/ab5a9681-e891-8449-53d2-7d358501f97f/mzi.zbauexhy.jpg/88x88bb.jpg,242011
88106,Never an Absolution (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ef/63/dc/ef63dceb-5fff-8065-ba3f-057a8c0be13c/mzaf_6390281176686754185.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/73/19/01/mzi.apneoski.jpg/88x88bb.jpg,182973
88230,Distant Memories (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/1d/3c/1e/1d3c1eff-c60e-53ef-1488-898ff0dbc83b/mzaf_8530405571148500096.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/73/19/01/mzi.apneoski.jpg/88x88bb.jpg,144108
88102,Rose,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/9c/65/c3/9c65c3ad-6c39-226f-ea2f-8d6777743948/mzaf_12447960085920908424.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/73/19/01/mzi.apneoski.jpg/88x88bb.jpg,172520
88232,Leaving Port (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ac/2d/ef/ac2defc0-4905-1fa1-0727-cb2abef7bf79/mzaf_1267164043368007658.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/73/19/01/mzi.apneoski.jpg/88x88bb.jpg,206191
88233,"Take Her to Sea, Mr. Murdoch (Stereo)",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/5f/10/30/5f10301a-be41-3ee0-7820-bdcbb1946314/mzaf_9470518061262848730.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/ab/5a/96/ab5a9681-e891-8449-53d2-7d358501f97f/mzi.zbauexhy.jpg/88x88bb.jpg,271227
88234,Hard to Starboard (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/29/9a/bf/299abfc1-a8ad-4d5b-add3-f64964149114/mzaf_7392381168895885555.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/ab/5a/96/ab5a9681-e891-8449-53d2-7d358501f97f/mzi.zbauexhy.jpg/88x88bb.jpg,412515
88235,"Unable to Stay, Unwilling to Leave (Stereo)",https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/34/50/fd/3450fd1e-67f9-fd04-c5f2-b3f4889cf1f1/mzaf_13616583712996121076.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music115/v4/ab/5a/96/ab5a9681-e891-8449-53d2-7d358501f97f/mzi.zbauexhy.jpg/88x88bb.jpg,236485
88236,The Sinking (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/51/09/b0/5109b0b8-1fbb-06f4-eed1-d70b576deee8/mzaf_2681923325136532511.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/73/19/01/mzi.apneoski.jpg/88x88bb.jpg,305137
88237,Death of Titanic (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/00/b7/ff/00b7ffd9-a1c2-6c93-18a8-2b50b079b449/mzaf_13078047901925009769.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/73/19/01/mzi.apneoski.jpg/88x88bb.jpg,506400
88238,A Promise Kept (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/8f/3f/1f/8f3f1f97-a5cf-05ea-5276-12884d15d04c/mzaf_7490759582260683505.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/73/19/01/mzi.apneoski.jpg/88x88bb.jpg,362355
88239,A Life So Changed (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/2b/cc/ca/2bccca7f-7e59-67c8-74b1-0abe24be4e28/mzaf_13099810012565824506.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/73/19/01/mzi.apneoski.jpg/88x88bb.jpg,132913
88240,An Ocean of Memories (Stereo),https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/31/4b/33/314b33f4-a660-a971-1660-f939cc3b2232/mzaf_13004383327734654507.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music/73/19/01/mzi.apneoski.jpg/88x88bb.jpg,478227
