song_id,description,episode_id,tvshow_id
100767,Phoebe sings it to Rachel to cheer her up.,tt0583459,tt0108778
79129,Ross and Rachel each deal with their new feelings of loneliness. ,tt0583459,tt0108778
195347,They find their seats at the hockey game.,tt0583521,tt0108778
22233,"Phoebe, Joey, and Monica singing while Ross is fighting the cat.",tt0583579,tt0108778
195368,Pheobe Sings a song with her guitar sitting on the couch about the blackouts.,tt0583579,tt0108778
17751,Joey's VD poster is displayed all over New York.,tt0583492,tt0108778
332989,Ross sings when he walks into Monica and Rachel's smoke-filled apartment.,tt0583492,tt0108778
49153,Beginning of the party.,tt0583630,tt0108778
122596,After Rachel asks Monica if people at the party ate her dip.,tt0583630,tt0108778
10657,Chandler takes photos with Janice; Phoebe says goodbye to Scientist Guy.,tt0583630,tt0108778
82590,Plays while Monica and Phoebe take care of Coma Guy,tt0583534,tt0108778
286023,"Following the Odd couple theme song, Ross attempts to continue the singing with I dream of Jeannie, but Chandler stops him.",tt0583598,tt0108778
332990,The 6 friends sing the theme song of I dream of Jeannie in the episode's opening scene in Central Perk.,tt0583598,tt0108778
82593,When Ross has Celia over,tt0583649,tt0108778
82595,Ross and Marcel are in the hospital,tt0583569,tt0108778
82594,Before Pheobe arrives at the party,tt0583569,tt0108778
200546,transition to riffs,tt0583569,tt0108778
67091,"The song played by Ross' monkey, Marcel.",tt0583510,tt0108778
256984,Beginning of the episode when they are closing envelopes with Rachel's resume,tt0583510,tt0108778
82599,When Louisa tries to shoot Marcel with a tranquilizer dart,tt0583493,tt0108778
6900,Chandler says part of the lyrics of the song when saying what Rachel will do with Barry when they meet.,tt0583602,tt0108778
82600,Playing as Marcel is taken away,tt0583603,tt0108778
37591,,tt0583616,tt0108778
88799,When Monica is holding Ben,tt0583577,tt0108778
82601,Plays while Rachel was waiting for Ross at the airport,tt0583469,tt0108778
121259,Where Chandler gets his inseam measured.,tt0583562,tt0108778
82602,"Ross dances in the street, the morning after sleeping with Julie",tt0583539,tt0108778
82603,At the concert.,tt0583519,tt0108778
204010,"Stephanie is singing in the Central Perk, Rachel is going outside to Phoebe. (16:50)",tt0583574,tt0108778
82605,Monica and Chandler work out,tt0583481,tt0108778
252809,Chandler is dancing in his apartment.,tt0583481,tt0108778
79069,Ross calls in a song on the radio to apologize to Rachel.,tt0583625,tt0108778
82607,The girl on the radio finds out what Ross did and changes the song.,tt0583625,tt0108778
2239,"Played while Phoebe, Chandler, and Joey sit in the cab.",tt0583537,tt0108778
82609,Ross dances with Susan.,tt0583624,tt0108778
82610,"Chandler leaves the restaurant, shielded by the bathroom-stall door.",tt0831047,tt0108778
82611,Ross spends his last day with Marcel.,tt0831047,tt0108778
41836,Ross and Rachel's date in the museum.,tt0583488,tt0108778
228489,Monica and Richard kiss for the first time.,tt0583488,tt0108778
256985,,tt0583488,tt0108778
175,Joey moves out. Chandler and Joey miss each other.,tt0583456,tt0108778
256986,,tt0583456,tt0108778
198783,Joey and Chandler are watching Baywatch.,tt0583448,tt0108778
52503,Joey and Chandler are looking out the window at different apartments.,tt0583448,tt0108778
82615,Monica and her co-workers at the diner dance.,tt0583584,tt0108778
82616,"Ross, Chandler, and Rachel talk about Rachel parents.",tt0583656,tt0108778
82617,Chandler says a girl stuck her tongue in his mouth.,tt0583656,tt0108778
82618,Rachel talks to each of her parents in turns,tt0583656,tt0108778
82619,Phoebe helps create a diversion so a group can escape from Monica's party.,tt0583656,tt0108778
82620,Monica says to Chandler and Joey to keep it down.,tt0583656,tt0108778
82621,Rachel lessening to her mom and dad.,tt0583656,tt0108778
82623,Ross comes into Central Perk wearing the Navy uniform.,tt0583591,tt0108778
82626,At the end.,tt0583514,tt0108778
80448,Rachel starts singing this song when she’s up on stage.,tt0583514,tt0108778
82065,Hummed by Ross as Rachel walks in dressed in the Slave Princess Leia costume.,tt0583634,tt0108778
107001,"Rachel, Ross and Phoebe talking",tt0583634,tt0108778
38281,"Rachel, Ross and Phoebe talking",tt0583634,tt0108778
