song_id,movie_id,description
88231,tt0120338,Rose talks about the Titanic; Rose see the ship for the first time.
88106,tt0120338,"Rose in the ocean, calling jack's name."
88230,tt0120338,
88102,tt0120338,On the dock.
88232,tt0120338,Titanic leaves the port.
88233,tt0120338,Jack and Fabrizio.
88234,tt0120338,"Mr. Murdoch notices the iceberg and shouts ""Hard-a-starboard!"" to Mr. Hichens."
88235,tt0120338,"Rose gets on the lifeboat, but then jumps back onto Titanic to be with Jack."
88236,tt0120338,Sinking.
88237,tt0120338,The Titanic's final plunge.
88238,tt0120338,Rose wants to kill herself; Rose discovers that Jack is dead and keeps her promise to never let go; She is rescued.
88239,tt0120338,Old Rose throws the Heart of the Ocean into the sea.
88240,tt0120338,
88104,tt0120338,
88241,tt0120338,
88105,tt0120338,Jack and Rose go to a party in third class.
88242,tt0120338,First class gather around the stairwell and are being given life-vests.
88243,tt0120338,Jack draws the portrait of Rose wearing nothing but a pendant necklace in the luxury suite.
88244,tt0120338,Jack and Fabrizio win the tickets to the Titanic.
88245,tt0120338,
88107,tt0120338,Mr. Andrews stares at the table clock when Jack and Rose run past him.
88247,tt0120338,
88246,tt0120338,"[Live cover version] Jack sings to Rose; They have their first kiss; (repeats) Rose sings while floating on the door, looking up at the stars."
88248,tt0120338,
88103,tt0120338,
88249,tt0120338,
88250,tt0120338,
88251,tt0120338,
88252,tt0120338,
88253,tt0120338,
88254,tt0120338,
88256,tt0120338,
88257,tt0120338,
88255,tt0120338,Seating for dinner scene.
88258,tt0120338,
88259,tt0120338,
88260,tt0120338,
88261,tt0120338,
88262,tt0120338,
88263,tt0120338,
88264,tt0120338,
88265,tt0120338,
88266,tt0120338,
88267,tt0120338,
88268,tt0120338,
88269,tt0120338,
88270,tt0120338,
88271,tt0120338,
88272,tt0120338,
88273,tt0120338,
88276,tt0120338,
88274,tt0120338,
88275,tt0120338,
88277,tt0120338,
88278,tt0120338,
88279,tt0120338,
88101,tt0120338,End Credits.
266464,tt0120338,Jack talks to Fabrizio; Jack sees Rose for the first time.
4920,tt0407887,Opening
322567,tt0407887,
322568,tt0407887,
4921,tt0407887,Billy in and out of prison.
5321,tt0407887,Plays on the car radio while Billy and his cousin Sean peel out after making a drug deal.
6897,tt0407887,a Cranberry juice...
